标题,梵文原文,最终音译,初步音译,AI修正音译,状态,用户标记错误,用户已编辑,发布状态
卍清净莲华明王央俱舍真言(清净莲花明王央俱舍陀罗尼)卍,nama strya dhva nugata  prati ṣṭhite bhyaḥ  sarva buddha bodhi satva  prasara tathā gata guhya  maṇḍala mudrā mantra  prasara samu dre bhyaḥ  namaḥ ārya vajra dhara  sarva kula guhya vidyā dhari ndra prati ṣṭhite bhyaḥ  namaḥ sarva pratyeka buddhā rya śrā vaka saṅghe bhyo  tīta nagata pratyu tpanne bhyaḥ  namaḥ sarva maṇḍala guhya  mahā vidyā rāja sadhana siddhe bhyaḥ  namo ratna trayāya  namaḥ āryā valo kite śvarāya  bodhi satvāya  mahā satvāya  mahā kāru ṇikāya  sarva vidyā maṇḍala rāja  mahā mogha vikurvaṇa siddhe bhyaḥ  sarva mudre bhyaḥ  tadyathā  oṃ  vimale  vimala garbhe  vimalāṃ muja padme  surya varcase  saha sra raśmi kiraṇe  mahā raśmi jvalā vabha site  cara cara  cacara  sañcara  padmo tari  padma garbhe  padma bhuje  suni rmalaṃ muja vimale  maṇi kanaka  vajra vai ḍuri ndra nīla mara kata  padma rāga  vivi dhamahā maṇi  ratnālaṅkṛta śarire  dhara dhara  mahā padma dhare  para para  paraśu paśadhare  sara sara  samanta vairo cana  sarva tathā gata guhyā dhiṣṭhite  kula samayaṃ  pari pūraṇi  dhara dhara  vajra jvalā māla garbhe  vajra vajre  vajrā dhiṣṭhita padme humhum  maṇi maṇi  mahā maṇi  cinta maṇi paśadhara  huru huru  padme padme gaure  padma paṇi varade  amogha padme  oṃ  padmini  padma maṇi vajra dhare  sarva tathā gata kula sāmā nya  samayā dhiṣṭhite  mahā vipula bhuje  bhara bhara  saṃ bhara saṃ bhara  bhuru bhuru  bhu raṇi  bhiri bhiri  samantā valokita vidyā rāje  prasara prasara  samanta vimale  sarva vidyā maṇḍala devata  nama skṛte  tara tara  tāraya tāraya  samantāśā pari pūraṇi  sarva bodhi satvā bhiṣe cani  sarva tathā gatā moghā bhiṣikte  abhiṣi ñcaya māṃ  sarva vidyā maṇḍala  kula samayā bhiṣekeḥ  sarva tathā gata pāṇi varade  padma gauri  padma prabhe  padma vikajaṃ muja garbhe humhum  vajre vajre  vajra padme  tathā gata kulā dhiṣṭhite  amogha varade  sarvā śāpari pūraṇi  sarvā pāya duḥ kha praśamani  amogha hṛdaya siddhi  sādhaya vimale hum  phaṭ  oṃ  varade padma bhuje  namo stute  padma puṭe  svāhā,那摩 斯德哩呀 德瓦 努嘎达 波拉底 室提德 比呀 萨尔瓦 布达 波底 萨德瓦 波拉萨拉 达塔 嘎达 古嘿呀 曼达拉 穆德啦 曼德拉 波拉萨拉 萨穆德勒 比呀 那摩 阿哩呀 瓦吉拉 达拉 萨尔瓦 古拉 古嘿呀 维迪呀 达利 恩德拉 波拉底 室提德 比呀 那摩 萨尔瓦 波拉底耶嘎 布达 阿哩呀 室拉 瓦嘎 桑格 比哟 提达 那嘎达 波拉底优德巴内 比呀 那摩 萨尔瓦 曼达拉 古嘿呀 玛哈 维迪呀 拉佳 萨达那 西德 比呀 那摩 拉德那 德啦呀呀 那摩 阿哩呀 瓦洛 吉德 伊室瓦拉呀 波底 萨德瓦呀 玛哈 萨德瓦呀 玛哈 嘎鲁 尼嘎呀 萨尔瓦 维迪呀 曼达拉 拉佳 玛哈 摩嘎 维古尔瓦那 西德 比呀 萨尔瓦 穆德勒 比呀 达德呀塔 奥姆 维玛勒 维玛拉 嘎尔贝 维玛拉姆 穆佳 巴德梅 苏哩呀 瓦尔嘎塞 萨哈 斯德啦 拉室米 吉拉内 玛哈 拉室米 吉瓦拉 瓦巴 西德 嘎拉 嘎拉 嘎嘎拉 桑嘎拉 巴德摩 达利 巴德玛 嘎尔贝 巴德玛 布杰 苏尼 尔玛拉姆 穆佳 维玛勒 玛尼 嘎那嘎 瓦吉拉 外 杜利 恩德拉 尼拉 玛拉 嘎达 巴德玛 拉嘎 维维 达玛哈 玛尼 拉德那兰格哩达 沙利勒 达拉 达拉 玛哈 巴德玛 达勒 巴拉 巴拉 巴拉舒 巴沙达勒 萨拉 萨拉 萨曼达 外罗嘎那 萨尔瓦 达塔 嘎达 古嘿呀 迪室提德 古拉 萨玛呀姆 巴利 布啦尼 达拉 达拉 瓦吉拉 吉瓦拉 玛拉 嘎尔贝 瓦吉拉 瓦吉勒 瓦吉拉 迪室提达 巴德梅 呼呼姆 玛尼 玛尼 玛哈 玛尼 金达 玛尼 巴沙达拉 胡鲁 胡鲁 巴德梅 巴德梅 高勒 巴德玛 巴尼 瓦拉德 阿摩嘎 巴德梅 奥姆 巴德米尼 巴德玛 玛尼 瓦吉拉 达勒 萨尔瓦 达塔 嘎达 古拉 萨玛尼呀 萨玛呀 迪室提德 玛哈 维布拉 布杰 巴拉 巴拉 桑巴拉 桑巴拉 布鲁 布鲁 布拉尼 比利 比利 萨曼达 瓦洛吉达 维迪呀 拉杰 波拉萨拉 波拉萨拉 萨曼达 维玛勒 萨尔瓦 维迪呀 曼达拉 德瓦达 那摩 斯格哩德 达拉 达拉 达拉呀 达拉呀 萨曼达沙 巴利 布啦尼 萨尔瓦 波底 萨德瓦 比舍 嘎尼 萨尔瓦 达塔 嘎达 摩嘎 比室格德 阿比室 尼嘎呀 玛姆 萨尔瓦 维迪呀 曼达拉 古拉 萨玛呀 比舍给 萨尔瓦 达塔 嘎达 巴尼 瓦拉德 巴德玛 高利 巴德玛 波拉贝 巴德玛 维嘎贾姆 穆佳 嘎尔贝 呼呼姆 瓦吉勒 瓦吉勒 瓦吉拉 巴德梅 达塔 嘎达 古拉 迪室提德 阿摩嘎 瓦拉德 萨尔瓦 沙巴利 布啦尼 萨尔瓦 巴呀 杜 卡 波拉沙玛尼 阿摩嘎 赫哩达呀 西迪 萨达呀 维玛勒 呼姆 帕德 奥姆 瓦拉德 巴德玛 布杰 那摩 斯杜德 巴德玛 布德 斯瓦哈,那摩 斯德哩呀 德瓦 努嘎达 波拉底 室提德 比呀 萨尔瓦 布达 波底 萨德瓦 波拉萨拉 达塔 嘎达 古嘿呀 曼达拉 穆德啦 曼德拉 波拉萨拉 萨穆德勒 比呀 那摩 阿哩呀 瓦吉拉 达拉 萨尔瓦 古拉 古嘿呀 维迪呀 达利 恩德拉 波拉底 室提德 比呀 那摩 萨尔瓦 波拉底耶嘎 布达 阿哩呀 室拉 瓦嘎 桑格 比哟 提达 那嘎达 波拉底优德巴内 比呀 那摩 萨尔瓦 曼达拉 古嘿呀 玛哈 维迪呀 拉佳 萨达那 西德 比呀 那摩 拉德那 德啦呀呀 那摩 阿哩呀 瓦洛 吉德 伊室瓦拉呀 波底 萨德瓦呀 玛哈 萨德瓦呀 玛哈 嘎鲁 尼嘎呀 萨尔瓦 维迪呀 曼达拉 拉佳 玛哈 摩嘎 维古尔瓦那 西德 比呀 萨尔瓦 穆德勒 比呀 达德呀塔 奥姆 维玛勒 维玛拉 嘎尔贝 维玛拉姆 穆佳 巴德梅 苏哩呀 瓦尔嘎塞 萨哈 斯德啦 拉室米 吉拉内 玛哈 拉室米 吉瓦拉 瓦巴 西德 嘎拉 嘎拉 嘎嘎拉 桑嘎拉 巴德摩 达利 巴德玛 嘎尔贝 巴德玛 布杰 苏尼 尔玛拉姆 穆佳 维玛勒 玛尼 嘎那嘎 瓦吉拉 外 杜利 恩德拉 尼拉 玛拉 嘎达 巴德玛 拉嘎 维维 达玛哈 玛尼 拉德那兰格哩达 沙利勒 达拉 达拉 玛哈 巴德玛 达勒 巴拉 巴拉 巴拉舒 巴沙达勒 萨拉 萨拉 萨曼达 外罗嘎那 萨尔瓦 达塔 嘎达 古嘿呀 迪室提德 古拉 萨玛呀姆 巴利 布啦尼 达拉 达拉 瓦吉拉 吉瓦拉 玛拉 嘎尔贝 瓦吉拉 瓦吉勒 瓦吉拉 迪室提达 巴德梅 呼呼姆 玛尼 玛尼 玛哈 玛尼 金达 玛尼 巴沙达拉 胡鲁 胡鲁 巴德梅 巴德梅 高勒 巴德玛 巴尼 瓦拉德 阿摩嘎 巴德梅 奥姆 巴德米尼 巴德玛 玛尼 瓦吉拉 达勒 萨尔瓦 达塔 嘎达 古拉 萨玛尼呀 萨玛呀 迪室提德 玛哈 维布拉 布杰 巴拉 巴拉 桑巴拉 桑巴拉 布鲁 布鲁 布拉尼 比利 比利 萨曼达 瓦洛吉达 维迪呀 拉杰 波拉萨拉 波拉萨拉 萨曼达 维玛勒 萨尔瓦 维迪呀 曼达拉 德瓦达 那摩 斯格哩德 达拉 达拉 达拉呀 达拉呀 萨曼达沙 巴利 布啦尼 萨尔瓦 波底 萨德瓦 比舍 嘎尼 萨尔瓦 达塔 嘎达 摩嘎 比室格德 阿比室 尼嘎呀 玛姆 萨尔瓦 维迪呀 曼达拉 古拉 萨玛呀 比舍给 萨尔瓦 达塔 嘎达 巴尼 瓦拉德 巴德玛 高利 巴德玛 波拉贝 巴德玛 维嘎贾姆 穆佳 嘎尔贝 呼呼姆 瓦吉勒 瓦吉勒 瓦吉拉 巴德梅 达塔 嘎达 古拉 迪室提德 阿摩嘎 瓦拉德 萨尔瓦 沙巴利 布啦尼 萨尔瓦 巴呀 杜 卡 波拉沙玛尼 阿摩嘎 赫哩达呀 西迪 萨达呀 维玛勒 呼姆 帕德 奥姆 瓦拉德 巴德玛 布杰 那摩 斯杜德 巴德玛 布德 斯瓦哈,,success,否,否,
46、卍不空思惟宝光真言(不空思惟宝光陀罗尼)卍灌顶真言成就品第六十八,oṃ  amogha cinta maṇi  varada padme  jvala jvalana  bhuje hum,奥姆 阿莫伽 钦达 玛尼 瓦拉达 巴德美 吉瓦拉 吉瓦拉纳 布杰 胡姆,奥姆 阿莫伽 钦达 玛尼 瓦拉达 巴德美 吉瓦拉 吉瓦拉纳 布杰 胡姆,,success,否,否,
47、卍不空大灌顶光真言(不空大灌顶光陀罗尼)卍灌顶真言成就品第六十八,oṃ  amogha vairo cana  mahā mudra  maṇi padma  jvala pravarttāya hum,唵 阿牟伽 吠罗遮那 摩诃 母陀罗 摩尼 钵德摩 积吠罗 波罗吠尔多耶 吽,唵 阿牟伽 吠罗遮那 摩诃 母陀罗 摩尼 钵德摩 积吠罗 波罗吠尔多耶 吽,,success,否,否,
48、卍不空金刚灌顶真言(不空金刚灌顶陀罗尼)卍灌顶曼拏罗品第六十九,oṃ  amogha maṇḍala  padmā bhi ṣe kaṃ  maṇi vajre  sarva tathā gatā bhiṣeke hum,唵 阿牟伽 曼荼罗 钵特摩 毗 室迦姆 摩尼 嚩日哩 萨哩嚩 但他誐哆 毗室契 吽,唵 阿牟伽 曼荼罗 钵特摩 毗 室迦姆 摩尼 嚩日哩 萨哩嚩 但他誐哆 毗室契 吽,,success,否,否,
49、卍不空摩尼供养真言(不空摩尼宝供养陀罗尼)卍不空摩尼供养真言品第七十房山石经第28册《释教最上乘秘密藏陀罗集》卷19第6咒。《房山明咒集》L2.543.22-L2.534.25，L4.378。,oṃ  amogha pūja  maṇi padma  vajre  tathā gata vilokite  samanta prasava hum,奥姆 阿莫伽 布贾 玛尼 巴德玛 瓦吉热 达塔 嘎达 维罗吉代 萨曼达 布拉萨瓦 胡姆,奥姆 阿莫伽 布贾 玛尼 巴德玛 瓦吉热 达塔 嘎达 维罗吉代 萨曼达 布拉萨瓦 胡姆,,success,否,否,
50、卍明王真言(明王加持陀罗尼不空羂索经嘱累正行分经文下阙)(明王加持陀罗尼)卍密仪真言品第七十七,oṃ  amogha vati  cara vicara  sañcara  svāhā,唵 阿牟伽 瓦帝 遮罗 毗遮罗 散遮罗 娑嚩诃,唵 阿牟伽 瓦帝 遮罗 毗遮罗 散遮罗 娑嚩诃,,success,否,否,
51、卍观自在奉送发遣陀罗尼卍神变真言品第三十八,oṃ  amogha paśa padmo ṣṇīṣa  tara tara  avata ratu  bhagavāṃ  gaccha sva bhavanaṃ  turu turu  mahā padma bhuje  svāhā,奥姆 阿莫伽 巴夏 巴德摩 室尼沙 达拉 达拉 阿瓦达 拉杜 巴伽梵 伽查 斯瓦 巴瓦南 杜鲁 杜鲁 玛哈 巴德玛 布杰 斯瓦哈,奥姆 阿莫伽 巴夏 巴德摩 室尼沙 达拉 达拉 阿瓦达 拉杜 巴伽梵 伽查 斯瓦 巴瓦南 杜鲁 杜鲁 玛哈 巴德玛 布杰 斯瓦哈,,success,否,否,
1卍最胜佛顶碎地狱陀罗尼卍（7遍）,namaḥ aṣṭa śītīnāṃ  samya ksaṃ buddha koṭīnāṃ  oṃ jñānā vabhase  dhiri dhiri hum,那摩 阿什达 悉提囊 萨弥亚 克萨姆 布达 科提囊 奥姆 吉亚纳 瓦巴塞 迪里 迪里 洪,那摩 阿什达 悉提囊 萨弥亚 克萨姆 布达 科提囊 奥姆 吉亚纳 瓦巴塞 迪里 迪里 洪,,success,否,否,
4卍解一切冤结陀罗尼卍（7遍）,oṃ  daha daha  sarva duṣṭa  praduṣṭa  traṇāṃ  svāhā,唵 达诃 达诃 萨尔瓦 度室达 波罗度室达 德喇囊 娑诃,唵 达诃 达诃 萨尔瓦 度室达 波罗度室达 德喇囊 娑诃,,success,否,否,
7卍甘露水真言(妙色身如来施甘露陀罗尼)卍（7遍）,namo bhagavate  surū pāya tathā gatāyā  rhate samya ksaṃ buddhāya  tadyathā  oṃ  suru suru  prasuru prasuru  svāhā,那摩 巴嘎瓦德 苏噜 巴雅 塔塔 嘎塔雅 尔哈德 萨姆雅 克萨姆 布达雅 塔德雅塔 奥姆 苏噜 苏噜 普拉苏噜 普拉苏噜 斯瓦哈,那摩 巴嘎瓦德 苏噜 巴雅 塔塔 嘎塔雅 尔哈德 萨姆雅 克萨姆 布达雅 塔德雅塔 奥姆 苏噜 苏噜 普拉苏噜 普拉苏噜 斯瓦哈,,success,否,否,
12卍般若心咒(般若大心陀罗尼)卍（七遍）,gate gate  paragate  pāra saṃgate  bodhi  svāhā,嘎得 嘎得 巴啦嘎得 巴啦桑嘎得 博地 斯瓦哈,嘎得 嘎得 巴啦嘎得 巴啦桑嘎得 博地 斯瓦哈,,success,否,是,
14卍除一切盖障菩萨悲力陀罗尼卍（七遍）,namaḥ samanta buddhānāṃ  ā  satva heta bhyo dgata  traṃ traṃ  raṃ raṃ  svāhā,那摩 萨曼达 布达纳姆 阿 萨特瓦 赫达 比哟 德嘎达 德兰 德兰 兰 兰 斯瓦哈,那摩 萨曼达 布达纳姆 阿 萨特瓦 赫达 比哟 德嘎达 德兰 德兰 兰 兰 斯瓦哈,,success,否,否,
15卍拔一切业障根本得生净土陀罗尼（往sheng咒）卍（七遍）,namo amitābhāya  tathā gatāya  tadyathā amṛto dbhave  amṛta siddhaṃ bhave  amṛta vikrānte  amṛta vikrānta  gāmine gagana  kīrta  kare  svāhā,那摩 阿弥达巴雅 达塔 嘎达雅 达德雅塔 阿姆利多 达巴维 阿姆利达 悉达姆 巴维 阿姆利达 维克兰德 阿姆利达 维克兰达 嘎弥内 嘎嘎那 基尔达 嘎雷 斯瓦哈,那摩 阿弥达巴雅 达塔 嘎达雅 达德雅塔 阿姆利多 达巴维 阿姆利达 悉达姆 巴维 阿姆利达 维克兰德 阿姆利达 维克兰达 嘎弥内 嘎嘎那 基尔达 嘎雷 斯瓦哈,,success,否,否,
心地神咒21遍，大随求心咒49遍，七小咒各1遍，八字咒，五字咒，般若心咒，各7遍，一切诸佛入无量门陀罗尼，宝箧印咒，一切诸佛心印陀罗尼，各1遍,oṃ su tiṣṭa vajra,奥姆 苏 提什塔 瓦吉拉,奥姆 苏 提什塔 瓦吉拉,,success,否,否,
